"Summary","Description","Priority","Labels","Issue Type"
"US_001: Bir ynetici olarak API balants zerinden courses'e eriebilmek istiyorum.","**Role:** Course
**Acceptance Criteria:**
- ""/api/courses endpoint'ine gecerli authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- id(x) olaninin response body'de donen bilgileri (teacher_id, creator_id, category_id, type, private, slug, start_date, duration, timezone) dorulanmal.
- ""/api/courses endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Medium","Course","Story"
"US_002: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course'in detayl bilgilerine erisebilmeliyim.","**Role:** Course
**Acceptance Criteria:**
- ""/api/course/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- Response body icindeki list datalarnn (id, teacher_id, creator_id, category_id, type, private, slug, start_date, duration, timezone) ierikleri dorulanmali.
- ""/api/course/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir GET request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not course for this id."""" oldugu, (id) icermeyen bir GET request gnderildiginde de dnen status code'un 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/course/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Low","Course","Story"
"US_003: Bir ynetici olarak API balants zerinden yeni bir course kayd olusturabilmek istiyorum.","**Role:** Course
**Acceptance Criteria:**
- ""/api/addCourse endpoint'ine gecerli authorization bilgileri ve dogru datalar (title, type, slug, start_date, duration, capacity, price, description, teacher_id) iceren bir POST body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Added."""" oldugu dogrulanmali.""
- ""/api/addCourse endpoint'ine gecerli authorization bilgileri ve eksik data (teacher_id) iceren bir POST body (title, type, slug, start_date, duration, capacity, price, description) gnderildiginde dnen status code'in 422 oldugu ve response body'deki message bilgisinin """"The teacher id field is required."""" oldugu, data icermeyen bir POST request gnderildiginde de dnen status code'in 422 oldugu ve response body'deki message bilgisinin """"The teacher id field is required. (and 2 more errors)"""" oldugu dogrulanmali""
- ""/api/addCourse endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru datalar (title, type, slug, start_date, duration, capacity, price, description, teacher_id) iceren bir POST body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- ""API uzerinden olusturulmak istenen yeni course kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dnen Added Course ID ile /api/course/{id} endpoint'ine GET request gnderilerek kayt oluturulduu dorulanabilir.)""","High","Course","Story"
"US_004: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course'in bilgilerini gncelleyebilmek istiyorum.","**Role:** Course
**Acceptance Criteria:**
- ""/api/updateCourse/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru datalar (duration, capacity, price, title) iceren bir PATCH body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Updated."""" oldugu dogrulanmali.""
- ""/api/updateCourse/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is no information to update."""" oldugu dogrulanmali.""
- ""/api/updateCourse/{id} endpoint'ine gecerli authorization bilgileri ile kayd olmayan bir (id) ve dogru datalar (duration, capacity, price, title) iceren bir PATCH body gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not course for this id."""" oldugu, (id) icermeyen ve dogru datalar (duration, capacity, price, title) iceren bir PATCH body gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/updateCourse/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru datalar (duration, capacity, price, title) iceren bir PATCH body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/updateCourse/{id} endpoint'inden donen response body icindeki Updated Course ID bilgisinin /api/updateCourse/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden gncellenmek istenen course kaydinin gncellendigi, API uzerinden dogrulanmali.
(Response body'de dnen Updated Course ID ile /api/course/{id} endpoint'ine GET request gnderilerek kaydn gncellendii dorulanabilir.)""","High","Course","Story"
"US_005: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course bilgilerini silebilmek istiyorum.","**Role:** Course
**Acceptance Criteria:**
- ""/api/deleteCourse/{id} endpoint'ine gecerli authorization bilgileri ve dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Deleted."""" oldugu dogrulanmali.""
- ""/api/deleteCourse/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir DELETE request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not course for this id."""" oldugu, (id) icermeyen bir DELETE request gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/deleteCourse/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/deleteCourse/{id} endpoint'inden donen response body icindeki Deleted Course ID bilgisinin /api/deleteCourse/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden silinmek istenen course kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dnen Deleted Course ID ile /api/course/{id} endpoint'ine GET request gnderilerek kaydn silindii dorulanabilir.)""","High","Course","Story"
"US_006: Bir ynetici olarak API balants zerinden courses categories'e eriebilmek istiyorum.","**Role:** Course Categories
**Acceptance Criteria:**
- ""/api/categories endpoint'ine gecerli authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- id(x) olaninin response body'de donen bilgileri (slug, parent_id, icon, order, title, id, category_id, locale, title) dorulanmal.
- ""/api/categories endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Medium","Course Categories","Story"
"US_007: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course category'in detayl bilgilerine erisebilmeliyim.","**Role:** Course Categories
**Acceptance Criteria:**
- ""/api/category/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 200 ve response body'deki remark bilgisinin """"success"""" oldugu dogrulanmali.""
- Response body icindeki list datalarnn (id, slug, parent_id, icon, order, title, id, category_id, locale, title) ierikleri dorulanmali.
- ""/api/category/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir GET request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not category for this id."""" (id) icermeyen bir GET request gnderildiginde de dnen status code'un 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/category/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gnderildiginde dnen status code'in 401 ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali.""","Low","Course Categories","Story"
"US_008: Bir ynetici olarak API balants zerinden yeni bir course category kayd olusturabilmek istiyorum.","**Role:** Course Categories
**Acceptance Criteria:**
- ""/api/addCategory endpoint'ine gecerli authorization bilgileri ve dogru data (title) iceren bir POST body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Added."""" oldugu dogrulanmali.""
- ""/api/addCategory endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gnderildiginde dnen status code'in 422 oldugu ve response body'deki message bilgisinin """"The title field is required."""" oldugu dogrulanmali""
- ""/api/addCategory endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru data (title) iceren bir POST body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- ""API uzerinden olusturulmak istenen yeni course category kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dnen Added Category ID ile /api/category/{id} endpoint'ine GET request gnderilerek kayt oluturulduu dorulanabilir.)""","High","Course Categories","Story"
"US_009: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course category'in bilgilerini gncelleyebilmek istiyorum.","**Role:** Course Categories
**Acceptance Criteria:**
- ""/api/updateCategory/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru data (title) iceren bir PATCH body gnderildiginde dnen status code'in 200, response body'deki remark bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Updated."""" oldugu dogrulanmali.""
- ""/api/updateCategory/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gnderildiginde dnen status code'in 203 olduu, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is no information to update."""" oldugu dogrulanmali.""
- ""/api/updateCategory/{id} endpoint'ine gecerli authorization bilgileri ile kayd olmayan bir (id) ve dogru data (title) iceren bir PATCH body gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not category for this id."""" oldugu, (id) icermeyen ve dogru data (title) iceren bir PATCH body gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/updateCategory/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru data (title) iceren bir PATCH body gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/updateCategory/{id} endpoint'inden donen response body icindeki Updated Category Id bilgisinin /api/updateCategory/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden gncellenmek istenen course category kaydinin gncellendigi, API uzerinden dogrulanmali.
(Response body'de dnen Updated Category Id ile /api/category/{id} endpoint'ine GET request gnderilerek kaydn gncellendii dorulanabilir.)""","High","Course Categories","Story"
"US_010: Bir ynetici olarak API baglantisi zerinden belirtilen id numarasna sahip course category bilgilerini silebilmek istiyorum.","**Role:** Course Categories
**Acceptance Criteria:**
- ""/api/deleteCategory/{id} endpoint'ine gecerli authorization bilgileri ve dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 200, response body'deki status bilgisinin """"success"""" ve Message bilgisinin de """"Successfully Deleted."""" oldugu dogrulanmali.""
- ""/api/deleteCategory/{id} endpoint'ine gecerli authorization bilgileri ve kayd olmayan bir (id) iceren bir DELETE request gnderildiginde dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"There is not category for this id."""" oldugu, (id) icermeyen bir DELETE request gnderildiginde de dnen status code'in 203, response body'deki remark bilgisinin """"failed"""" ve message bilgisinin de """"No id"""" oldugu dogrulanmali.""
- ""/api/deleteCategory/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) iceren bir DELETE request gnderildiginde dnen status code'in 401 oldugu ve response body'deki message bilgisinin """"Unauthenticated."""" oldugu dogrulanmali""
- /api/deleteCategory/{id} endpoint'inden donen response body icindeki Deleted Category Id bilgisinin /api/deleteCategory/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.
- ""API uzerinden silinmek istenen course category kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dnen Deleted Category Id ile /api/category/{id} endpoint'ine GET request gnderilerek kaydn silindii dorulanabilir.)""","High","Course Categories","Story"
