Summary,Issue Type,Description,Priority
US_001 - Bir kullanici olarak site ana sayfasina erisim saglayabilmek istiyorum.,Story,* App acildiginda ana sayfa erişilebilir olmalıdır.,Highest
US_002 - Bir kullanici olarak site ici islemlerini kolaylikla yapabilmek icin ana sayfa altbarında kolay linklerin bulunmasını istiyorum,Story,"* Site alt barinda kolay linkler (Home,Category,Wishlist, Cart, Profile) goruntulenmeli.
* Kolay linkler (Home,Category, Wishlist, Cart, Profile ) ilgili sayfaya yonlendirme yapmalidir.
* Search Text Box goruntulenmeli ve arama yapilabilmeli.",Medium
US_003 - Bir kullanici olarak sitede kayıt olmadan urunleri inceleyip urun secebilmek ve sepete ekleyebilmek istiyorum,Story,"* Anasayfada urunler ve urun özellikleri gorunur olmalı
* Secilen urune ait beden/renk ve adet ozellikleri secilebilir olmalı
* Urun detail sayfasında Add to Card butonu görünür ve aktif olmalı",High
US_004 - Bir kullanici olarak anasayfada categories baslıgı altında kategorileri görüp istediğim kategoriden ürün secebilmek istiyorum,Story,* Anasayfada Categories baslıgı altında tüm kategoriler görünür olmalı.,High
US_005 - Bir kullanici olarak anasayfada sitenin popular markalarını görebilmek istiyorum,Story,* Anasayfada Popular Brands baslıgı altında brandler görünür olmalı.,High
US_006 - Kayıtlı bir kullanici olarak şifremi unuttugumda şifre değiştirme işlemi yapabilmek istiyorum,Story,"* SignIn sayfasında Forgot Password linki görünür ve aktif olmalı
* Forgot password sayfasında gecerli e-mail ya da telefon numarası girilerek şifre resetleme işlemi yapılabilmelidir.
* Get OTP butonu görünür ve aktif olmalıdır.
* Back to sign in linki görünür ve aktif olmalıdır.",High
US_007 - Bir kullanici olarak sitenin fonksiyonlarindan faydalanabilmek icin siteye kayit olabilmek istiyorum,Story,"* Ana sayfa alt barinda profile ikonu gorunur ve aktif olmali.
* SignUp formunun altinda SignUp butonu gorunur ve aktif olmali.
* SignUp formu icerisinde bos birakilamaz alanlar (Firstname, Email or Phone, Password) olmali.
* Phone number ile register olabilmek icin en az 7 haneli numara girilmesi zorunlu olmali.
* Email girisi icin girilen email  gecerli email kriterlerini saglamali
* Password girisi icin girilen gecerli sifre (min 6 karakter) kriterlerini saglamali.
* SignUp sayfasindan signIn sayfasina gecis yapilabilmeli.",Highest
US_008 - Kayıtlı bir kullanici olarak siteye kaydoldugum (email/telefon ve password) bilgilerimle login olabilmek istiyorum.,Story,"* Ana sayfada profile linki görünür olmalı ve SıgnIn sayfasına yönlendirmeli
* Login sayfasinda SignIn butonu gorunur ve aktif olmali.
* Giris yapilan bilgilerin hatirlanmasi icin Remember me checkBox'i secilebilir olmali.
* Login sayfasindan Forgot Password sayfasina gecis yapilabilmeli.
* Login sayfasindan Register sayfasina gecis yapilabilmeli.
* Login formuna gecersiz bilgiler girilip signIn butonuna tiklandiginda hata mesajlari goruntulenmeli.
* Login formuna gecerli bilgiler girilip signIn butonuna tiklandiginda sisteme giris yapilabilmeli.",Highest
US_009 - Bir kullanici olarak Kategoriler basligi altinda sitede bulunan tum kategorileri gorebilmek istiyorum.,Story,"* Ana sayfa navbarinda  Category ikonu gorunur ve aktif olmali.
* Men,Women,Junior başlıkları görünür ve aktif olmalı
* Filtreleme ikonları aktif olmalıdır.",High
US_010 - Bir kullanici olarak alisveris yaptigim sitede guncel urunleri takip edebilecegim bir sayfanin olmasini istiyorum.,Story,"* Ana sayfa navBar da Most Popular menu basligi gorunur olmali.
* See All ikonu gorunur ve aktif olmalı
* Most Popular baslıgı altında guncel urunler listenmeli
* Geri butona tıklandıgında anasayfaya geri dönülebilmeli",Medium
US_0011 - Kayıtlı bir kullanıcı olarak sitede favori listesi oluşturabilmek istiyorum,Story,"* Anasayfa navbarda wishlist butonu gorunur ve aktif olmalıdır.
* Secilen urunler wishlist /favorite butonundan wishlist listesine eklenebilmelidir.",Medium
US_0012 - Bir kullanıcı olarak sayfada sectigim urun ile ilgili detaylı bilgilere ulasabilmek istiyorum,Story,"* Anasayfadan secilen urun sayfasına gecilebilmeli
* Urun sayfasına gecildiginde Details,Videos,Review,Shipping&Return baslıkları görünür ve aktif olmalı
* Details butonuna tıklandıgında Product Details baslıgı ve urune ait bilgiler goruntulenmeli
* Videos butonuna tıklandıgında Product Videos baslıgı ve urune ait videolar goruntulenmeli
* Review butonuna tıklandıgında Review baslıgı ve urune ait degerlendirmeler goruntulenmeli
* Shipping&Return butonuna tıklandıgında Shipping&Return baslıgı ve urune ait kargo ve iade kosulları goruntulenmeli",Medium
US_013 - Kayıtlı bir kullanici olarak ana sayfada Men menusune ait kategorileri ve urunleri gorebilmek istiyorum.,Story,"* Ana sayfa body bolumunde Men kategori penceresi ve alt kategorileri gorunur ve aktif olmalı
* Men kategori sayfasındaki urunler uzerinde islemler (sepete ekleme, begenilenler listesine ekleme ve goruntuleme) yapilabilmeli.
* Filtreleme ikonları gorunur ve aktif olmalı",High
